# Fracture 1 Parallel,Fracture 2 Parallel,Fracture 3 Parallel,Fracture 1 Non-Parallel,Fracture 2 Non-Parallel,Fracture 3 Non-Parallel
3.352649432807155705e+01,3.327357756625153939e+01,3.319992810567691066e+01,3.136325543151376039e+01,3.321464114587773508e+01,3.542210342260850098e+01
3.387919769109969792e+01,3.316470650271116938e+01,3.295609580618912560e+01,2.794865808608877344e+01,3.259978337902325052e+01,3.945155853488798670e+01
3.415886565060708335e+01,3.307815473273459617e+01,3.276297961665829916e+01,2.542914188302168199e+01,3.160467849611749003e+01,4.296617962086082798e+01
3.433970146872220397e+01,3.302187255483185169e+01,3.263842597644594434e+01,2.387524642596968505e+01,3.064369533837736270e+01,4.548105823565295225e+01
3.445345656285546454e+01,3.298628041269490296e+01,3.256026302444963960e+01,2.291682315975244322e+01,2.988200245020878398e+01,4.720117439003877990e+01
3.452682399182391038e+01,3.296323234933795021e+01,3.250994365883813231e+01,2.230172907294977236e+01,2.931621480771263322e+01,4.838205611933759798e+01
3.457593933456058011e+01,3.294775804895833460e+01,3.247630261648108529e+01,2.188951922889214430e+01,2.890126478300584623e+01,4.920921598810199526e+01
3.461005986649802679e+01,3.293698545728155125e+01,3.245295467622042196e+01,2.160228058415510333e+01,2.859462236355293641e+01,4.980309705229195316e+01
3.463456668601475030e+01,3.292923624092760093e+01,3.243619707305764877e+01,2.139526657891130768e+01,2.836457909999141691e+01,5.024015432109727186e+01
3.465268713861666328e+01,3.292349986930199179e+01,3.242381299208135914e+01,2.124170875892136578e+01,2.818900629077533182e+01,5.056928495030330595e+01
3.466642569481881964e+01,3.291914687514429261e+01,3.241442743003688776e+01,2.112495708387335469e+01,2.805269390435084986e+01,5.082234901177579900e+01
3.467707003407805644e+01,3.291577198542930915e+01,3.240715798049262020e+01,2.103428319330966545e+01,2.794514303642828423e+01,5.102057377026205387e+01
